number;group;name;suggested_cost_price;extra_cost;sales_price;unit_id;stock_quantity;description;min_inventory_quantity;min_sales_quantity;min_purchase_quantity;barcode;default_location_id;variation_id;weight;weight_unit;width;height;depth;size_unit;supplier_product_number;is_barred;discount_group;image_url;Har batchstyring;has_serial_numbers;default_supplier_id
SOL-54105157;25;Bolt DIN 7991 M6-20 INOX.; kr 0,47 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-54108003;25;Bolt DIN 84 M3-8 INOX.; kr 0,47 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-54108004;25;Bolt DIN 84 M3-12 INOX.; kr 0,47 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-54108154;25;Bolt DIN 84 M6-10; kr 0,47 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-54120006;25;Nut DIN 934 M6 INOX; kr 0,47 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-54128005;25;Nut DIN 439 M5 INOX; kr 0,47 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-57000361;25;Washer 10-14-1,5; kr 0,47 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-57000365;25;Washer 12-20-1,5; kr 0,47 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-57000366;25;Washer; kr 0,47 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-58000609;25;Washer 13-20-2,5; kr 0,47 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-58088283;25;Pastic Cable Zip Tie; kr 0,47 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-58088284;25;Pastic Cable Zip Tie; kr 0,47 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-58088288;25;BOLT M3,BRACKET CLAMP; kr 0,47 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-TORICA;25;GASKET; kr 0,47 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-60900140;25;MARK FOR ELECTRIC CABLE Nº0; kr 0,59 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-60900141;25;MARK FOR ELECTRIC CABLE Nº1; kr 0,59 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-60900142;25;MARK FOR ELECTRIC CABLE Nº2; kr 0,59 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
