number;Price (EUR);dkk
501.55.95;18636;139024,56
501.63.00;3785;28236,1
426.04.52;4894;36509,24
401.06.54;1253;9347,38
403.04.85;1451;10824,46
450.20.10;1129;8422,34
450.20.00;1044;7788,24
450.20.03;1177;8780,42
402.04.58;1299;9690,54
401.06.52;2229;16628,34
403.04.91;2210;16486,6
22021352;1034;7713,64
400.08.76;3016;22499,36
419.04.07;1973;14718,58
419.04.02;1850;13801
419.04.00;1822;13592,12
418.00.42;1243;9272,78
418.00.02;1120;8355,2
418.00.01;986;7355,56
418.00.00;1053;7855,38
415.12.36;958;7146,68
450.10.06;882;6579,72
418.01.09;1233;9198,18
419.01.08;2030;15143,8
418.01.00;910;6788,6
419.01.07;2030;15143,8
419.01.00;1357;10123,22
419.01.05;1414;10548,44
419.01.11;1533;11436,18
419.01.02;2040;15218,4
415.12.49;1016;7579,36
419.03.01;3396;25334,16
450.10.17;1006;7504,76
415.12.15;806;6012,76
415.12.00;693;5169,78
415.102.0;1527;11391,42
415.100.0;1148;8564,08
415.101.0;1451;10824,46
419.00.42;778;5803,88
419.00.43;1044;7788,24
419.00.54;2533;18896,18
419.00.55;1480;11040,8
419.00.48;854;6370,84
419.00.47;835;6229,1
401.06.53;1299;9690,54
403.04.26;1451;10824,46
403.04.25;1451;10824,46
403.04.21;2210;16486,6
403.04.20;2030;15143,8
505.11.42;4591;34248,86
27.06.226;389;2901,94
506.33.34;608;4535,68
560.17.20;7170;53488,2
501.00.39;673;5020,58
500.00.58;228;1700,88
560.20.29;162;1208,52
500.00.99;247;1842,62
560.30.07;2035;15181,1
560.08.66;1480;11040,8
512.60.00;617;4602,82
512.60.15;1433;10690,18
512.60.05;892;6654,32
560.15.70;712;5311,52
560.15.60;797;5945,62
560.15.75;1584;11816,64
560.14.96;930;6937,8
560.19.00;2912;21723,52
556.07.16;1793;13375,78
556.07.00;4078;30421,88
560.23.26;617;4602,82
560.08.67;295;2200,7
1027882;6014;44864,44
560.08.01;436;3252,56
402.05.66;9219;68773,74
512.20.83;532;3968,72
560.11.01;2637;19672,02
560.08.87;3178;23707,88
560.08.98;854;6370,84
560.31.15;3709;27669,14
560.14.28;523;3901,58
560.09.01;532;3968,72
560.08.91;436;3252,56
512.50.80;4449;33189,54
560.15.25;1357;10123,22
560.34.11;2096;15636,16
511.00.62;210;1566,6
401.05.35;1631;12167,26
560.34.51;10281;76696,26
560.30.55;1755;13092,3
560.20.63;13278;99053,88
560.20.62;9599;71608,54
440.05.70;930;6937,8
560.30.52;8100;60426
560.30.06;8384;62544,64
560.30.38;8489;63327,94
560.20.23;5909;44081,14
560.20.40;5549;41395,54
560.34.09;19974;149006,04
560.32.00;4506;33614,76
560.34.08;10850;80941
560.30.13;4638;34599,48
440.05.72;892;6654,32
403.07.80;5444;40612,24
403.05.42;5349;39903,54
401.05.40;2116;15785,36
506.33.94;2950;22007
560.08.90;541;4035,86
506.33.97;3092;23066,32
440.05.75;835;6229,1
555.15.35;7435;55465,1
440.05.76;1594;11891,24
560.20.11;4021;29996,66
560.08.00;1907;14226,22
560.08.10;1566;11682,36
560.30.57;8782;65513,72
512.20.82;1062;7922,52
560.10.33;1518;11324,28
560.34.22;1329;9914,34
560.40.61;1907;14226,22
560.17.80;1205;8989,3
560.41.89;873;6512,58
560.34.03;5823;43439,58
560.34.07;4714;35166,44
560.14.95;7379;55047,34
560.14.16;2229;16628,34
560.19.07;6355;47408,3
546.30.29;2077;15494,42
418.01.32;20;149,2
33.05.008;15;111,9
506.50.02;48;358,08
512.01.32;143;1066,78
650.03.28;2457;18329,22
426.04.05;104;775,84
30.04.027;13;96,98
1004182;114;850,44
575.12.06;210;1566,6
509.00.51;152;1133,92
512.24.03;380;2834,8
505.10.57;162;1208,52
512.24.01;210;1566,6
505.13.62;673;5020,58
401.02.46;34;253,64
401.04.85;48;358,08
450.11.05;76;566,96
403.04.71;493;3677,78
419.00.15;39;290,94
419.00.39;238;1775,48
419.00.19;152;1133,92
419.00.21;86;641,56
403.05.91;190;1417,4
560.02.47;418;3118,28
502.05.37;162;1208,52
502.08.23;48;358,08
500.01.37;323;2409,58
400.05.29;29;216,34
500.00.33;29;216,34
512.01.94;20;149,2
500.00.31;361;2693,06
500.00.34;40;298,4
500.00.36;67;499,82
505.20.13;52;387,92
512.02.98;104;775,84
28.11.514;62;462,52
403.50.05;560;4177,6
400.52.01;190;1417,4
400.50.04;332;2476,72
401.50.84;778;5803,88
401.50.26;684;5102,64
401.50.01;86;641,56
30.03.088;134;999,64
401.10.18;114;850,44
401.10.66;171;1275,66
401.10.67;361;2693,06
400.17.25;86;641,56
1013701;892;6654,32
1010863;778;5803,88
1010869;702;5236,92
1015439;740;5520,4
1010886;702;5236,92
1016229;655;4886,3
1016231;655;4886,3
1011193;702;5236,92
1010973;664;4953,44
1026914;797;5945,62
1018429;749;5587,54
1025548;627;4677,42
1018932;882;6579,72
1007506;627;4677,42
1014542;532;3968,72
1006822;484;3610,64
1017946;684;5102,64
1016251;617;4602,82
1013963;1044;7788,24
1010976;76;566,96
1010977;76;566,96
1010966;104;775,84
1025940;134;999,64
400.17.19;475;3543,5
560.42.03;418;3118,28
560.42.04;418;3118,28
560.42.02;418;3118,28
560.42.05;418;3118,28
560.42.06;418;3118,28
560.42.01;418;3118,28
560.42.07;418;3118,28
560.42.00;418;3118,28
400.25.48;25;186,5
505.20.15;152;1133,92
505.14.06;26;193,96
560.14.65;152;1133,92
403.02.57;31;231,26
506.20.74;806;6012,76
540.00.20;238;1775,48
512.01.88;27;201,42
512.23.23;36;268,56
512.02.97;143;1066,78
30.10.551;26;193,96
30.04.213;180;1342,8
575.14.01;2172;16203,12
415.101.5;91;678,86
40.05.015;14;104,44
40.05.016;14;104,44
40.05.017;10;74,6
40.05.168;58;432,68
40.02.245;295;2200,7
40.01.059;33;246,18
31.00.721;26;193,96
480.04.18;12;89,52
40.05.009;30;223,8
40.05.011;11;82,06
40.05.150;20;149,2
38.26.111;4;29,84
39.17.014;2;14,92
37.17.014;2;14,92
36.17.014;2;14,92
39.26.113;3;22,38
37.26.113;3;22,38
1028340;46;343,16
36.17.016;3;22,38
38.20.001;4;29,84
40.08.016;76;566,96
39.17.017;3;22,38
37.17.017;3;22,38
1026373;4;29,84
39.26.116;4;29,84
37.17.018;3;22,38
38.17.018;1;7,46
38.70.442;10;74,6
37.26.168;16;119,36
39.35.264;52;387,92
37.17.005;4;29,84
38.35.211;2;14,92
37.26.117;4;29,84
40.08.019;91;678,86
38.17.019;4;29,84
37.17.020;3;22,38
38.17.020;5;37,3
39.26.119;4;29,84
37.26.120;4;29,84
38.26.120;2;14,92
37.17.022;4;29,84
38.26.121;2;14,92
37.17.024;4;29,84
37.53.321;10;74,6
37.35.217;6;44,76
37.26.123;7;52,22
37.50.290;46;343,16
37.17.007;2;14,92
36.17.007;2;14,92
37.26.124;5;37,3
40.08.219;238;1775,48
37.26.126;5;37,3
37.17.028;5;37,3
39.26.128;6;44,76
39.17.008;2;14,92
37.17.008;2;14,92
36.17.008;2;14,92
38.17.008;1;7,46
40.08.131;418;3118,28
37.26.131;7;52,22
37.35.224;8;59,68
38.35.224;3;22,38
39.26.132;7;52,22
37.26.132;7;52,22
38.17.031;3;22,38
37.26.133;7;52,22
37.10.004;5;37,3
38.17.009;1;7,46
38.53.329;3;22,38
38.17.033;3;22,38
39.17.033;11;82,06
37.35.227;12;89,52
39.26.138;8;59,68
38.30.560;7;52,22
39.53.582;171;1275,66
37.26.146;10;74,6
37.35.232;12;89,52
37.10.006;3;22,38
38.10.006;2;14,92
38.26.109;2;14,92
39.17.011;2;14,92
37.17.011;2;14,92
37.26.150;11;82,06
38.26.151;4;29,84
37.17.041;13;96,98
39.10.085;11;82,06
38.53.339;4;29,84
38.17.044;4;29,84
400.07.88;1812;13517,52
400.05.95;266;1984,36
450.11.19;29;216,34
501.12.21;15;111,9
501.12.22;11;82,06
501.03.23;14;104,44
502.05.46;12;89,52
501.14.22;11;82,06
501.55.22;30;223,8
98107.1.02;76;566,96
502.05.56;12;89,52
501.11.23;8;59,68
501.40.23;18;134,28
501.63.22;42;313,32
501.55.21;27;201,42
501.30.23;15;111,9
501.18.22;14;104,44
501.17.22;11;82,06
501.20.22;12;89,52
501.30.22;16;119,36
501.11.21;9;67,14
501.06.22;8;59,68
501.38.22;27;201,42
401.02.27;14;104,44
402.04.39;25;186,5
98107.1.03;62;462,52
401.02.29;14;104,44
400.08.72;40;298,4
401.06.73;627;4677,42
400.17.47;82;611,72
401.04.76;14;104,44
401.04.92;12;89,52
503.00.06;32;238,72
502.09.43;52;387,92
503.00.70;46;343,16
503.00.84;45;335,7
503.00.66;35;261,1
503.00.63;35;261,1
503.00.69;35;261,1
503.00.33;32;238,72
503.00.03;29;216,34
503.00.99;52;387,92
503.00.75;41;305,86
503.00.00;29;216,34
401.04.66;200;1492
401.03.76;180;1342,8
501.38.07;76;566,96
500.25.78;71;529,66
575.12.30;21;156,66
500.40.78;67;499,82
560.14.56;104;775,84
450.21.04;12;89,52
400.07.37;19;141,74
505.04.98;86;641,56
505.12.15;48;358,08
402.04.62;71;529,66
560.34.16;493;3677,78
501.45.07;143;1066,78
401.03.74;86;641,56
502.05.96;46;343,16
502.05.33;627;4677,42
402.04.18;33;246,18
502.05.53;45;335,7
502.05.63;44;328,24
502.05.83;43;320,78
506.27.08;560;4177,6
512.01.74;71;529,66
401.06.36;134;999,64
403.05.92;180;1342,8
403.04.76;82;611,72
560.14.98;48;358,08
28.09.705.8500;190;1417,4
28.01.024;2;14,92
555.03.03;2135;15927,1
1029492;4249;31697,54
1025908;4373;32622,58
28.01.017;2;14,92
555.03.26;190;1417,4
530.02.42;2;14,92
530.02.14;2;14,92
505.16.29;3196;23842,16
470.01.04;82;611,72
400.40.27;19;141,74
500.40.04;247;1842,62
416.03.58;219;1633,74
506.37.51;797;5945,62
547.00.45;1375;10257,5
502.16.03;740;5520,4
400.03.70;152;1133,92
512.22.53;977;7288,42
500.25.04;180;1342,8
418.01.31;82;611,72
502.55.03;655;4886,3
401.10.02;152;1133,92
575.12.25;18;134,28
415.01.40;44;328,24
512.30.67;210;1566,6
430.10.04;67;499,82
502.05.11;1129;8422,34
506.33.24;579;4319,34
560.14.62;228;1700,88
430.20.04;238;1775,48
505.05.73;266;1984,36
402.25.03;76;566,96
400.25.30;67;499,82
401.10.22;134;999,64
512.01.62;134;999,64
418.00.31;95;708,7
504.05.97;1375;10257,5
502.05.32;143;1066,78
504.05.42;1290;9623,4
504.05.62;1395;10406,7
503.05.82;1006;7504,76
501.23.06;200;1492
501.14.06;134;999,64
505.20.22;266;1984,36
501.38.06;256;1909,76
512.01.05;152;1133,92
505.13.55;71;529,66
501.30.06;190;1417,4
501.63.06;427;3185,42
512.02.85;816;6087,36
418.10.35;82;611,72
506.27.24;134;999,64
506.27.28;200;1492
450.21.06;46;343,16
1009437;15165;113130,9
1024851;10253;76487,38
1009439;9503;70892,38
40.01.152;11;82,06
500.30.05;124;925,04
500.20.05;143;1066,78
500.15.05;134;999,64
505.05.46;104;775,84
415.01.13;19;141,74
506.27.22;76;566,96
400.04.06;62;462,52
400.03.05;124;925,04
512.31.23;493;3677,78
402.05.36;247;1842,62
512.30.63;910;6788,6
505.06.11;512;3819,52
401.06.69;95;708,7
430.10.31;104;775,84
575.12.23;24;179,04
575.12.33;35;261,1
430.08.05;171;1275,66
416.03.57;854;6370,84
512.01.06;58;432,68
430.10.20;134;999,64
401.02.19;9;67,14
400.09.12;62;462,52
501.43.09;2732;20380,72
506.27.21;323;2409,58
505.12.24;977;7288,42
506.27.05;532;3968,72
512.02.86;418;3118,28
506.27.31;2277;16986,42
506.27.23;210;1566,6
501.14.05;219;1633,74
505.20.04;143;1066,78
501.63.05;447;3334,62
512.01.04;143;1066,78
505.13.54;295;2200,7
501.23.45;2011;15002,06
401.10.31;162;1208,52
505.03.55;152;1133,92
512.02.84;465;3468,9
505.01.68;2049;15285,54
512.30.95;1053;7855,38
502.02.82;238;1775,48
540.03.04;46;343,16
440.21.16;62;462,52
505.11.02;200;1492
560.09.02;162;1208,52
505.281.0;104;775,84
505.280.9;67;499,82
505.10.68;30;223,8
560.08.08;256;1909,76
560.10.11;35;261,1
560.14.69;124;925,04
430.10.37;24;179,04
28.11.215;44;328,24
30.04.022;10;74,6
30.05.077;14;104,44
53.12.075;3;22,38
511.00.45;1698;12667,08
1023788;2931;21865,26
418.01.11;31;231,26
435.00.40;332;2476,72
511.00.20;23;171,58
506.33.40;2476;18470,96
30.09.005;134;999,64
555.03.35;2779;20731,34
555.03.31;1907;14226,22
400.15.00.160;627;4677,42
403.15.00.160;2030;15143,8
404.15.00.160;1774;13234,04
402.15.00;1205;8989,3
1007698;180;1342,8
28.10.024;31;231,26
555.07.42;1537;11466,02
560.40.75;1774;13234,04
30.07.831;114;850,44
575.14.15;929;6930,34
1011571;835;6229,1
1020431;351;2618,46
1009568;721;5378,66
505.03.57;8;59,68
401.02.20;9;67,14
419.00.30;11;82,06
1014794;541;4035,86
29.01.875;901;6721,46
29.01.883;1299;9690,54
29.01.880;1110;8280,6
556.05.30;636;4744,56
1019045;4562;34032,52
556.02.20;1401;10451,46
556.24.30;3130;23349,8
556.28.30;9712;72451,52
556.28.60;6203;46274,38
556.03.09;2144;15994,24
556.03.00;721;5378,66
556.03.25;1793;13375,78
1019043;4032;30078,72
1018991;2732;20380,72
556.25.30;2542;18963,32
556.01.00;921;6870,66
556.01.12;1243;9272,78
556.26.30;2902;21648,92
1026335;8441;62969,86
1026332;4923;36725,58
1026330;8043;60000,78
1026333;10253;76487,38
1019044;4041;30145,86
556.01.58;2713;20238,98
556.04.40;3054;22782,84
556.04.00;1612;12025,52
556.02.31;882;6579,72
556.27.30;7540;56248,4
560.15.61;171;1275,66
27.06.603;114;850,44
27.06.626;76;566,96
53.05.050;14;104,44
600.00.43;152;1133,92
560.14.42;58;432,68
418.01.04;25;186,5
540.00.16;91;678,86
540.02.16;104;775,84
401.02.26;4;29,84
560.14.50;247;1842,62
436.00.60;219;1633,74
505.05.72;323;2409,58
575.12.28;551;4110,46
575.12.36;238;1775,48
505.16.01;342;2551,32
575.12.32;76;566,96
505.12.03;95;708,7
506.20.04;256;1909,76
505.10.02;134;999,64
505.10.01;219;1633,74
530.20.75;342;2551,32
505.20.23;332;2476,72
512.01.98;18;134,28
30.04.559;16;119,36
55.03.005;6;44,76
40.01.090;17;126,82
40.01.094;22;164,12
33.05.002;15;111,9
40.06.015;7;52,22
400.08.02;389;2901,94
560.20.27;332;2476,72
560.14.49;655;4886,3
560.14.48;304;2267,84
560.14.45;304;2267,84
560.34.04;1973;14718,58
560.34.44;2665;19880,9
560.32.30;1423;10615,58
506.33.33;712;5311,52
400.21.10;134;999,64
500.00.67;190;1417,4
560.14.54;304;2267,84
556.27.70;769;5736,74
556.27.71;749;5587,54
555.00.77;58;432,68
560.40.31;5179;38635,34
560.40.32;5179;38635,34
560.40.33;5179;38635,34
556.27.84;380;2834,8
570.00.28;171;1275,66
556.27.90;143;1066,78
500.00.40;71;529,66
556.27.16;152;1133,92
556.27.95;104;775,84
512.22.16;91;678,86
27.06.324;12;89,52
27.06.332;23;171,58
556.27.67;134;999,64
556.27.92;228;1700,88
556.27.68;238;1775,48
27.06.330;12;89,52
560.15.43;475;3543,5
500.00.93;91;678,86
28.11.329;95;708,7
556.27.19;551;4110,46
414.12.11;740;5520,4
410.14.00;27;201,42
556.27.44;58;432,68
556.27.51;48;358,08
556.27.42;39;290,94
556.27.54;114;850,44
28.09.398;36;268,56
556.27.52;627;4677,42
547.00.79;134;999,64
556.27.94;304;2267,84
28.11.395;228;1700,88
502.02.75;86;641,56
418.01.43;124;925,04
540.00.49;152;1133,92
540.00.47;35;261,1
540.00.48;44;328,24
506.45.03;1470;10966,2
556.27.87;788;5878,48
29.01.240;41;305,86
435.00.26;114;850,44
512.22.10;2329;17374,34
435.01.15;1973;14718,58
526.00.30;1888;14084,48
435.00.15;1006;7504,76
415.01.65;760;5669,6
450.10.50;608;4535,68
512.23.76;114;850,44
501.55.16;58;432,68
501.40.16;25;186,5
501.25.16;25;186,5
501.28.16;25;186,5
506.34.83;189;1409,94
430.06.06;28;208,88
556.50.67;19;141,74
501.15.16;25;186,5
500.30.22;34;253,64
511.00.26;28;208,88
430.20.06;52;387,92
505.06.78;152;1133,92
401.50.12;13;96,98
506.26.61;114;850,44
505.20.12;134;999,64
513.00.07;67;499,82
505.12.06;62;462,52
506.20.19;71;529,66
505.12.26;693;5169,78
560.34.63;27;201,42
27.06.408;4;29,84
560.10.03;882;6579,72
560.11.52;2181;16270,26
560.41.88;1271;9481,66
560.13.29;493;3677,78
401.10.14;15;111,9
401.10.86;6;44,76
575.12.34;21;156,66
560.14.52;46;343,16
540.00.18;171;1275,66
575.11.42;16;119,36
505.12.11;20;149,2
560.08.04;16;119,36
501.63.14;42;313,32
501.13.14;49;365,54
450.01.19;25;186,5
505.13.60;17;126,82
501.45.14;33;246,18
402.25.42;58;432,68
501.18.14;29;216,34
501.30.14;32;238,72
40.10.060;3;22,38
416.04.59;52;387,92
403.05.96;124;925,04
28.07.070;12;89,52
28.04.010;5;37,3
512.24.42;26;193,96
511.01.64;128;954,88
511.00.64;12;89,52
511.01.07;503;3752,38
560.17.25;275;2051,5
560.10.63;104;775,84
547.00.48;104;775,84
505.06.53;3794;28303,24
400.17.44;95;708,7
400.17.35;162;1208,52
400.17.41;551;4110,46
505.14.05;21;156,66
506.21.16;152;1133,92
560.11.14;35;261,1
560.10.74;219;1633,74
400.08.70;162;1208,52
401.02.86;82;611,72
560.17.26;295;2200,7
556.05.34;67;499,82
402.25.44;31;231,26
400.04.09;21;156,66
506.27.09;210;1566,6
506.27.33;1138;8489,48
400.08.39;560;4177,6
28.03.152;5;37,3
440.10.26;503;3752,38
440.10.27;712;5311,52
450.11.49;91;678,86
440.10.24;503;3752,38
440.11.04;171;1275,66
418.10.36;76;566,96
430.14.00.01;22;164,12
400.03.00.01;35;261,1
415.12.00.01;76;566,96
505.05.58.01;52;387,92
502.03.30.01;67;499,82
401.10.70.01;36;268,56
506.34.05.01;91;678,86
506.34.04.01;91;678,86
401.10.45.01;40;298,4
400.03.41.01;27;201,42
401.03.41.01;27;201,42
415.12.25.01;33;246,18
450.00.01.01;40;298,4
450.00.02.01;40;298,4
506.30.39.01;91;678,86
430.10.10.01;31;231,26
430.10.17.01;31;231,26
401.05.98.01;104;775,84
403.04.70.01;36;268,56
450.20.01.01;36;268,56
450.20.02.01;76;566,96
502.05.30.01;41;305,86
512.21.84.01;52;387,92
430.20.00.01;40;298,4
402.04.71.01;31;231,26
415.100.0.01;95;708,7
401.23.07.01;82;611,72
512.06.90.01;104;775,84
415.01.32.01;31;231,26
556.51.73.01;43;320,78
415.01.30.01;31;231,26
400.02.37.01;31;231,26
502.02.69.01;32;238,72
400.06.57.01;134;999,64
418.00.01.01;82;611,72
400.06.35.01;33;246,18
440.05.03.01;31;231,26
401.23.90.01;67;499,82
505.06.40.01;266;1984,36
401.02.33.01;46;343,16
401.02.00.01;62;462,52
575.12.04.01;104;775,84
502.05.40.01;41;305,86
502.06.40.01;152;1133,92
419.00.01.01;58;432,68
403.25.91.01;48;358,08
502.05.50.01;76;566,96
502.06.11.01;67;499,82
400.03.55.01;38;283,48
502.02.62.01;399;2976,54
450.10.19.01;171;1275,66
526.00.19.01;190;1417,4
502.55.00.01;238;1775,48
505.22.25.01;86;641,56
418.01.00.01;143;1066,78
450.20.03.01;104;775,84
440.00.03.01;693;5169,78
450.10.07.01;190;1417,4
401.05.80.01;114;850,44
560.08.87.01;114;850,44
400.03.46.01;45;335,7
402.25.55.01;114;850,44
400.17.05.01;104;775,84
400.17.04.01;104;775,84
502.06.70.01;91;678,86
502.06.20.01;91;678,86
502.06.71.01;91;678,86
502.06.21.01;91;678,86
430.10.50.01;152;1133,92
440.08.23.01;219;1633,74
440.08.22.01;180;1342,8
505.16.40.01;171;1275,66
419.01.01.01;67;499,82
512.20.47.01;266;1984,36
419.00.43.01;104;775,84
419.00.46.01;134;999,64
419.00.06.01;104;775,84
512.02.51.01;45;335,7
512.02.50.01;45;335,7
403.25.15.01;45;335,7
501.30.70.01;134;999,64
419.04.02.01;162;1208,52
402.25.45.01;76;566,96
512.03.90.01;104;775,84
415.101.1.01;104;775,84
1024851,01;541;4035,86
440.00.00.01;399;2976,54
402.25.19.01;76;566,96
505.05.62.01;190;1417,4
500.15.75.01;152;1133,92
402.25.20.01;76;566,96
402.25.40.01;76;566,96
402.25.47.01;104;775,84
402.25.49.01;104;775,84
506.21.60.01;200;1492
450.10.17.01;71;529,66
450.10.20.01;71;529,66
575.12.05.01;152;1133,92
502.06.30.01;76;566,96
505.06.35.01;427;3185,42
418.01.10.01;76;566,96
501.55.95.01;645;4811,7
450.10.16.01;67;499,82
403.05.35.01;66;492,36
505.06.53.01;436;3252,56
556.51.53.01;67;499,82
560.15.35.01;71;529,66
1009370;24;179,04
402.26.00.01;82;611,72
401.00.09.01;49;365,54
419.01.07.01;124;925,04
401.10.00.01;86;641,56
402.05.17.01;67;499,82
1007624;71;529,66
506.26.20.01;484;3610,64
506.25.35.01;901;6721,46
560.30.09.01;124;925,04
440.05.51.01;314;2342,44
502.05.14.01;67;499,82
401.03.71.01;134;999,64
505.01.60.01;71;529,66
31.00.725;134;999,64
560.15.81.01;2343;17478,78
512.31.20.01;238;1775,48
512.31.30.01;238;1775,48
560.14.16.01;114;850,44
505.22.24.01;465;3468,9
31.00.722;238;1775,48
440.00.01.01;447;3334,62
502.28.00.01;114;850,44
402.25.31.01;58;432,68
502.38.00.01;210;1566,6
400.40.10.01;76;566,96
401.06.75.01;86;641,56
505.05.32.01;238;1775,48
430.10.72.01;171;1275,66
501.38.12.01;134;999,64
506.38.20.01;190;1417,4
501.45.52.01;86;641,56
505.06.25.01;408;3043,68
505.05.70.01;408;3043,68
402.26.70.01;104;775,84
402.04.40.01;210;1566,6
403.04.88.01;104;775,84
501.23.09.01;361;2693,06
401.06.76.01;82;611,72
401.05.81.01;124;925,04
502.21.00.01;95;708,7
401.05.10.01;71;529,66
512.02.90.01;200;1492
512.09.90.01;200;1492
501.23.80.01;314;2342,44
502.14.00.01;86;641,56
430.10.70.01;256;1909,76
505.06.61.01;408;3043,68
501.63.00.01;749;5587,54
501.23.00.01;314;2342,44
505.05.85.01;1062;7922,52
505.05.29.01;210;1566,6
440.05.23.01;456;3401,76
440.05.54.01;389;2901,94
440.05.88.01;389;2901,94
440.05.20.01;436;3252,56
440.05.52.01;399;2976,54
440.05.00.01;399;2976,54
506.20.60.01;361;2693,06
560.15.80.01;180;1342,8
506.30.37.01;91;678,86
505.03.60.01;124;925,04
505.02.55.01;124;925,04
512.01.90.01;200;1492
501.17.00.01;256;1909,76
500.20.75.01;171;1275,66
440.05.84.01;475;3543,5
501.45.00.01;493;3677,78
500.30.75.01;219;1633,74
501.30.00.01;342;2551,32
501.38.83.01;503;3752,38
506.27.20.01;493;3677,78
506.27.00.01;475;3543,5
601.00.13;1129;8422,34
547.00.50;389;2901,94
512.01.76;142;1059,32
560.14.34;67;499,82
512.21.87;342;2551,32
512.21.84;389;2901,94
505.03.84;806;6012,76
505.05.58;1262;9414,52
547.00.63;693;5169,78
506.260.8;124;925,04
506.200.7;104;775,84
506.250.8;86;641,56
506.117.1;71;529,66
505.112.8;71;529,66
506.180.8;82;611,72
505.235.8;95;708,7
506.215.8;124;925,04
506.096.2;76;566,96
506.096.6;76;566,96
506.240.8;114;850,44
506.105.8;67;499,82
506.270.4;134;999,64
506.125.8;76;566,96
506.245.8;82;611,72
506.210.6;114;850,44
506.306.8;219;1633,74
516.105.9;43;320,78
506.270.8;162;1208,52
506.115.8;82;611,72
506.220.9;104;775,84
506.320.2;418;3118,28
506.335.4;238;1775,48
505.270.8;48;358,08
506.390.4;210;1566,6
506.440.4;228;1700,88
506.420.4;180;1342,8
505.201.8;76;566,96
506.235.8;67;499,82
506.320.4;124;925,04
506.270.9;134;999,64
506.340.4;171;1275,66
506.350.4;171;1275,66
506.375.4;162;1208,52
506.306.4;124;925,04
505.208.8;114;850,44
506.410.4;210;1566,6
506.360.6;180;1342,8
506.310.4;171;1275,66
506.301.4;171;1275,66
505.096.8;228;1700,88
512.24.61;532;3968,72
512.24.62;532;3968,72
505.340.4;91;678,86
505.300.8;86;641,56
505.335.4;114;850,44
505.350.4;91;678,86
505.360.4;104;775,84
505.390.4;114;850,44
505.320.4;76;566,96
506.360.8;156;1163,76
560.40.43;465;3468,9
560.14.85;323;2409,58
502.03.99;67;499,82
506.20.64;124;925,04
560.14.31;82;611,72
502.03.97;104;775,84
556.50.30;551;4110,46
1013894;52;387,92
547.00.04;664;4953,44
547.00.26;731;5453,26
560.15.69;949;7079,54
450.11.25;8;59,68
1009661;1566;11682,36
556.51.05;210;1566,6
556.60.62;26;193,96
505.11.09;44;328,24
556.50.59;162;1208,52
560.10.34;949;7079,54
560.17.23;256;1909,76
560.14.92;162;1208,52
560.11.53;134;999,64
556.51.67;104;775,84
556.51.68;114;850,44
556.51.69;114;850,44
556.50.63;114;850,44
560.02.55;275;2051,5
504.05.40;3358;25050,68
502.05.99;892;6654,32
502.05.20;2865;21372,9
502.05.30;2153;16061,38
502.05.40;1584;11816,64
502.05.50;523;3901,58
502.05.60;1110;8280,6
502.14.00;4002;29854,92
502.21.00;1375;10257,5
502.06.00;1395;10406,7
556.60.69;238;1775,48
556.60.70;238;1775,48
556.51.60;275;2051,5
556.50.69;532;3968,72
505.80.82;541;4035,86
400.25.83;31;231,26
400.40.08;52;387,92
502.02.21;62;462,52
30.09.006;22;164,12
556.01.30;295;2200,7
560.14.23;58;432,68
30.03.012;7;52,22
540.03.05;71;529,66
540.03.09;82;611,72
501.20.15;76;566,96
501.40.15;76;566,96
410.07.52;52;387,92
502.02.90;23;171,58
401.04.17;76;566,96
501.28.18;82;611,72
501.25.15;71;529,66
401.02.52;24;179,04
501.63.15;134;999,64
560.15.71;598;4461,08
402.04.20;26;193,96
560.01.78;124;925,04
500.00.56;42;313,32
540.01.14;124;925,04
540.02.15;351;2618,46
40.01.010;13;96,98
40.09.007;171;1275,66
40.01.048;8;59,68
40.01.069;29;216,34
505.13.67;5;37,3
40.01.085;20;149,2
33.05.026;6;44,76
540.00.12;76;566,96
540.02.12;200;1492
1010674;5;37,3
400.04.00;873;6512,58
418.01.57;532;3968,72
401.02.80;608;4535,68
450.10.03;541;4035,86
1010842;436;3252,56
505.00.07;6336;47266,56
27.03.100;34;253,64
441.00.12;2220;16561,2
512.22.10.02;816;6087,36
505.01.60.02;1698;12667,08
512.31.30.02;523;3901,58
401.12.73.02;569;4244,74
503.05.50.02;551;4110,46
505.16.30.02;436;3252,56
502.05.30.02;86;641,56
505.00.55.02;380;2834,8
575.12.05.02;171;1275,66
430.10.17.02;58;432,68
440.05.50.02;34;253,64
540.00.00.02;2020;15069,2
501.12.00.02;873;6512,58
500.15.75.02;436;3252,56
400.07.90.02;143;1066,78
415.100.0.02;361;2693,06
521.00.07.02;42;313,32
415.01.38.02;95;708,7
501.15.80.02;892;6654,32
415.01.70.02;275;2051,5
501.17.80.02;873;6512,58
560.14.67.02;58;432,68
502.05.50.02;162;1208,52
505.05.88.02;1101;8213,46
575.11.01.02;190;1417,4
450.10.06.02;256;1909,76
512.02.51.02;82;611,72
547.01.12.02;5255;39202,3
556.51.71.02;104;775,84
556.51.73.02;104;775,84
501.23.20.02;1205;8989,3
505.13.50.02;134;999,64
401.23.01.02;532;3968,72
415.12.21.02;285;2126,1
527.01.49.02;210;1566,6
415.01.75.02;323;2409,58
450.20.04.02;247;1842,62
401.02.33.02;114;850,44
430.06.25.02;228;1700,88
