number;Price (EUR);dkk
430.10.45;12;89,52
506.20.16;42;313,32
555.03.25;41;305,86
417.01.09;200;1492
556.06.08;27;201,42
28.11.206;475;3543,5
29.01.230;67;499,82
29.01.065;41;305,86
911.06.39;190;1417,4
505.13.63;816;6087,36
415.12.09;389;2901,94
415.12.10;389;2901,94
30.03.004;104;775,84
22000445;371;2767,66
402.25.77;361;2693,06
502.06.62;275;2051,5
401.02.23;1566;11682,36
440.20.44;114;850,44
437.00.24;275;2051,5
560.14.61;285;2126,1
401.41.13;82;611,72
417.01.37;62;462,52
401.01.03;200;1492
556.26.27;673;5020,58
556.26.26;749;5587,54
556.29.27;2685;20030,1
556.25.06;835;6229,1
556.02.02;210;1566,6
556.02.54;617;4602,82
556.02.05;821;6124,66
440.20.04;67;499,82
440.21.13;114;850,44
440.22.12;266;1984,36
402.25.46;227;1693,42
403.25.15;977;7288,42
505.10.89;6336;47266,56
1023482;882;6579,72
402.25.13;456;3401,76
575.10.07;152;1133,92
506.33.16;806;6012,76
440.20.22;38;283,48
430.10.38;11;82,06
560.32.19;389;2901,94
501.45.02;104;775,84
501.23.02;91;678,86
505.12.02;95;708,7
505.20.02;275;2051,5
501.30.02;104;775,84
501.17.02;91;678,86
506.20.63;285;2126,1
505.03.17;247;1842,62
1021055;238;1775,48
512.02.02;2248;16770,08
401.10.35;41;305,86
400.25.32;42;313,32
505.12.20;5264;39269,44
60.10.202;361;2693,06
60.10.305;399;2976,54
60.10.306;778;5803,88
60.34.501;228;1700,88
60.34.601;266;1984,36
60.34.503;219;1633,74
60.34.302;546;4073,16
60.10.309;645;4811,7
60.34.505;295;2200,7
60.34.300;143;1066,78
60.34.200;71;529,66
60.10.300;143;1066,78
60.12.300;62;462,52
60.10.500;200;1492
60.12.500;82;611,72
60.34.500;134;999,64
60.34.600;171;1275,66
506.30.75;323;2409,58
26.06.008;62;462,52
575.10.51;332;2476,72
416.04.17;389;2901,94
501.43.17;114;850,44
506.35.05;124;925,04
560.01.53;210;1566,6
505.80.17;33;246,18
560.10.13;67;499,82
560.10.21;256;1909,76
560.14.01;238;1775,48
560.14.11;76;566,96
501.12.08;91;678,86
400.03.53;25;186,5
501.30.08;82;611,72
501.45.08;104;775,84
501.38.08;95;708,7
501.40.08;1357;10123,22
501.23.08;82;611,72
502.05.24;560;4177,6
502.05.34;52;387,92
502.05.44;52;387,92
502.05.54;76;566,96
501.06.08;82;611,72
505.00.75;2665;19880,9
502.02.53;62;462,52
401.00.09;1338;9981,48
502.02.45;2457;18329,22
506.30.24;351;2618,46
505.80.15;238;1775,48
40.09.006;152;1133,92
29.01.968;18;134,28
419.00.33;104;775,84
505.16.40;2457;18329,22
1015452;1688;12592,48
560.14.84;617;4602,82
560.14.30;180;1342,8
512.22.79;1395;10406,7
29.01.236;124;925,04
414.12.10;845;6303,7
418.01.42;62;462,52
505.05.41;104;775,84
30.07.815;9;67,14
440.00.52;210;1566,6
440.00.51;266;1984,36
440.00.53;256;1909,76
440.00.57;210;1566,6
440.00.59;210;1566,6
1028909;114;850,44
560.23.60;1233;9198,18
560.23.00;493;3677,78
1005446;7578;56531,88
435.00.25;408;3043,68
1020704;8024;59859,04
555.10.72.04;2533;18896,18
555.10.72.01;1926;14367,96
555.13.10.01;2362;17620,52
555.13.10.10;2969;22148,74
900.27.20;14075;104999,5
555.13.61.02;3643;27176,78
555.13.61.01;2950;22007
512.60.01;323;2409,58
480.01.39;484;3610,64
480.16.19;162;1208,52
480.40.19;228;1700,88
400.02.16;40;298,4
506.20.32;30;223,8
513.00.08;67;499,82
556.50.85;134;999,64
540.03.06;86;641,56
556.50.86;104;775,84
505.04.22;371;2767,66
505.80.13;48;358,08
505.03.92;58;432,68
560.11.31;475;3543,5
556.51.86;82;611,72
505.05.45;48;358,08
556.50.97;38;283,48
505.04.86;180;1342,8
560.14.78;104;775,84
540.03.07;95;708,7
430.10.35;45;335,7
560.14.38;171;1275,66
575.11.26;18;134,28
540.04.24;380;2834,8
502.02.16;27;201,42
419.00.10;32;238,72
419.00.29;48;358,08
505.200.7;104;775,84
512.01.31;95;708,7
512.02.14;162;1208,52
505.05.48;134;999,64
90.02.055;1;7,46
560.11.05;82;611,72
416.03.60;266;1984,36
410.07.04;47;350,62
511.00.10;399;2976,54
400.05.22;124;925,04
560.14.40;275;2051,5
430.10.03;171;1275,66
419.00.23;134;999,64
430.20.03;523;3901,58
436.00.51;44;328,24
505.05.38;408;3043,68
417.01.10;152;1133,92
502.03.10;389;2901,94
401.05.09;816;6087,36
450.21.01;36;268,56
400.07.25;152;1133,92
400.05.42;143;1066,78
416.100.9;11;82,06
430.06.21;1736;12950,56
500.20.02;295;2200,7
500.25.02;304;2267,84
500.30.02;323;2409,58
500.40.02;361;2693,06
506.35.01;1205;8989,3
400.07.26;71;529,66
430.30.03;1091;8138,86
512.30.22;180;1342,8
1010824;2438;18187,48
512.23.22;95;708,7
505.04.90;124;925,04
512.23.21;134;999,64
506.31.91;266;1984,36
512.23.44;389;2901,94
512.50.47;162;1208,52
506.31.92;389;2901,94
401.10.95;3224;24051,04
401.10.96;2514;18754,44
401.10.49;1992;14860,32
526.00.54;2770;20664,2
421.00.31;1499;11182,54
401.10.20;1746;13025,16
401.10.90;1916;14293,36
401.10.00;1879;14017,34
526.00.19;2172;16203,12
526.00.55;2826;21081,96
29.11.211;342;2551,32
530.11.30;228;1700,88
530.11.31;190;1417,4
505.13.65;8;59,68
575.12.31;6;44,76
417.01.87;26;193,96
400.13.14;62;462,52
556.50.66;12;89,52
417.01.92;23;171,58
401.03.98;31;231,26
400.25.31;21;156,66
505.12.12;41;305,86
506.20.18;52;387,92
505.12.13;11;82,06
512.03.78;275;2051,5
560.11.20;82;611,72
415.01.61;4;29,84
512.02.96;228;1700,88
547.01.03;712;5311,52
401.14.02;256;1909,76
401.14.01;76;566,96
403.60.00;418;3118,28
401.60.10;456;3401,76
27.20.180;10;74,6
27.20.240;12;89,52
27.20.124;10;74,6
511.01.61;228;1700,88
418.00.15;48;358,08
440.05.45;304;2267,84
440.05.46;180;1342,8
416.04.24;1451;10824,46
416.05.25;532;3968,72
415.01.02;39;290,94
415.12.02;39;290,94
418.01.18;91;678,86
416.04.45;1537;11466,02
440.05.68;219;1633,74
440.05.69;162;1208,52
400.03.87;28;208,88
401.08.30;1423;10615,58
401.08.31;2694;20097,24
401.02.31;684;5102,64
401.16.35;2713;20238,98
502.04.25;769;5736,74
527.01.49;1158;8638,68
440.05.21;2201;16419,46
440.05.22;2409;17971,14
440.08.23;2372;17695,12
440.09.23;2353;17553,38
440.05.20;1357;10123,22
401.23.03;930;6937,8
400.04.79;1822;13592,12
400.06.58;1299;9690,54
402.06.02;1129;8422,34
401.09.14;864;6445,44
401.12.73;1053;7855,38
401.23.00;778;5803,88
401.23.05;1129;8422,34
401.23.10;684;5102,64
401.23.70;1062;7922,52
401.08.01;2646;19739,16
505.01.15;52;387,92
556.51.06;219;1633,74
505.80.14;41;305,86
410.07.55;67;499,82
436.00.54;43;320,78
502.00.14;104;775,84
410.07.03;58;432,68
530.20.74;190;1417,4
560.18.74;62;462,52
506.33.18;43;320,78
400.07.33;62;462,52
555.10.19;3;22,38
501.43.19;38;283,48
560.18.75;162;1208,52
555.10.31;47;350,62
501.38.55;11;82,06
580.00.33;29;216,34
555.11.02;62;462,52
560.18.20;62;462,52
501.43.21;43;320,78
501.43.20;104;775,84
506.30.61;210;1566,6
1000415;190;1417,4
440.05.79;200;1492
560.34.15;351;2618,46
505.10.06;82;611,72
1006056;275;2051,5
1006051;104;775,84
558.00.07;512;3819,52
558.00.06;503;3752,38
558.00.23;371;2767,66
558.00.02;304;2267,84
558.00.01;266;1984,36
532.01.93;31;231,26
502.05.65;3917;29220,82
560.32.17;721;5378,66
575.13.77;1224;9131,04
575.13.76;1224;9131,04
575.13.79;1224;9131,04
575.13.72;1290;9623,4
575.13.75;1224;9131,04
575.13.67;1224;9131,04
507.320.0;1224;9131,04
28.09.377;7;52,22
28.09.372;4;29,84
28.11.397;332;2476,72
28.11.380;62;462,52
30.08.095;162;1208,52
512.23.28;247;1842,62
546.12.00;6412;47833,52
1028458;1490;11115,4
1023860;1490;11115,4
575.11.01;1186;8847,56
575.11.00;1158;8638,68
556.51.35;371;2767,66
911.06.21;4221;31488,66
556.52.01;1679;12525,34
556.51.87;3178;23707,88
556.51.89;1840;13726,4
440.05.50;503;3752,38
400.09.10;493;3677,78
401.05.65;523;3901,58
401.01.20;323;2409,58
512.20.48;15981;119218,26
512.20.46;9295;69340,7
540.00.07;86;641,56
540.01.08;228;1700,88
540.02.07;143;1066,78
555.00.80;436;3252,56
555.07.25;6554;48892,84
575.10.49;12;89,52
506.30.08;67;499,82
505.80.95;295;2200,7
506.39.01;816;6087,36
506.31.20;588;4386,48
506.31.22;921;6870,66
506.31.16;314;2342,44
505.80.69;5927;44215,42
506.37.21;25569;190744,74
506.39.10;9731;72593,26
512.31.60;9779;72951,34
505.02.55;1859;13868,14
505.03.60;1698;12667,08
505.11.05;2210;16486,6
505.11.41;6288;46908,48
505.11.10;4419;32965,74
506.34.68;12965;96718,9
506.34.69;13467;100463,82
505.06.02;2798;20873,08
505.04.77;7644;57024,24
505.80.79;7189;53629,94
505.80.68;8195;61134,7
555.07.15;200;1492
570.00.06;2599;19388,54
570.00.60;4050;30213
575.10.13;892;6654,32
506.30.95;541;4035,86
560.13.62;12538;93533,48
560.16.04;4050;30213
560.15.81;6715;50093,9
560.15.80;6042;45073,32
505.80.54;456;3401,76
560.14.76;380;2834,8
555.10.55.21;3747;27952,62
30.04.550;7;52,22
511.01.10;873;6512,58
511.01.40;1233;9198,18
555.02.44;1414;10548,44
30.04.010;124;925,04
28.04.036;5;37,3
28.04.105;6;44,76
556.01.04;16;119,36
505.04.05;503;3752,38
505.04.15;825;6154,5
505.04.85;1793;13375,78
515.04.05;1849;13793,54
1014319;4354;32480,84
403.04.86;162;1208,52
400.50.06;25;186,5
400.25.12;17;126,82
402.25.07;76;566,96
400.25.69;38;283,48
20501370;43;320,78
440.80.23;673;5020,58
430.10.01;266;1984,36
430.20.01;740;5520,4
505.13.52;162;1208,52
430.10.02;294;2193,24
430.14.02;1025;7646,5
430.20.02;740;5520,4
560.40.70;219;1633,74
440.21.07;180;1342,8
530.20.76;190;1417,4
512.23.25;16;119,36
547.01.23;40;298,4
505.04.51;15;111,9
22025861;86;641,56
1018987;399;2976,54
555.03.02;5862;43730,52
400.23.35;901;6721,46
560.01.19;20;149,2
575.13.65;512;3819,52
575.13.61;493;3677,78
506.125.0;427;3185,42
506.260.5;608;4535,68
575.13.59;493;3677,78
506.105.3;418;3118,28
575.13.66;684;5102,64
575.13.63;475;3543,5
1025305;645;4811,7
575.13.62;475;3543,5
512.24.57;2353;17553,38
506.105.9;684;5102,64
575.13.43;427;3185,42
575.13.57;475;3543,5
506.117.0;418;3118,28
575.13.45;399;2976,54
575.13.56;475;3543,5
575.13.54;475;3543,5
575.13.40;475;3543,5
505.096.6;162;1208,52
575.13.41;493;3677,78
575.13.52;475;3543,5
512.24.40;2096;15636,16
575.13.60;475;3543,5
512.21.46;1224;9131,04
575.13.48;475;3543,5
575.13.44;475;3543,5
575.13.49;475;3543,5
575.13.47;475;3543,5
575.13.51;475;3543,5
505.04.01;351;2618,46
575.13.46;475;3543,5
575.13.42;475;3543,5
512.21.36;1395;10406,7
512.21.35;2172;16203,12
512.21.13;1129;8422,34
506.210.7;655;4886,3
506.090.5;1897;14151,62
506.26.64;143;1066,78
512.21.12;835;6229,1
512.22.70;731;5453,26
506.215.5;598;4461,08
505.200.5;721;5378,66
506.235.7;617;4602,82
506.180.5;532;3968,72
505.235.5;579;4319,34
506.235.5;523;3901,58
506.096.5;418;3118,28
505.208.5;977;7288,42
506.096.3;418;3118,28
506.105.5;418;3118,28
508.180.5;1006;7504,76
505.048.0;901;6721,46
512.21.45;1879;14017,34
506.320.1;684;5102,64
506.285.5;1707;12734,22
505.375.1;873;6512,58
505.306.1;806;6012,76
505.320.0;371;2767,66
512.21.67;4762;35524,52
512.25.03;6905;51511,3
512.23.16;2665;19880,9
506.200.6;617;4602,82
509.00.03;447;3334,62
509.00.24;399;2976,54
509.00.04;323;2409,58
509.00.02;418;3118,28
509.00.06;351;2618,46
509.00.22;1309;9765,14
509.00.16;910;6788,6
509.00.17;997;7437,62
512.21.71;2950;22007
512.50.92;361;2693,06
506.34.51;2372;17695,12
136313;1195;8914,7
29.02.121;4;29,84
512.50.88;6829;50944,34
31.00.030;2163;16135,98
1001705;2978;22215,88
470.01.02;2685;20030,1
460.01.05;3092;23066,32
460.02.03;2542;18963,32
470.01.03;2059;15360,14
470.04.05;2324;17337,04
460.05.03;2504;18679,84
460.04.03;2343;17478,78
470.04.02;2542;18963,32
470.04.07;2229;16628,34
1008065;2239;16702,94
31.02.020;2580;19246,8
470.16.05;2874;21440,04
460.41.07;5729;42738,34
470.40.03;3822;28512,12
1025997;2741;20447,86
