VareNr;Afdeling
CP-VOSN18;1
CP-VOSN19;1
CP-VOSN20;1
CP-VOUG20;1
CP-VR17;1
CPH-WHIS;10
CR-BB18;1
CR-MO20;1
CRE-VVprop;10
DB-CDL18;1
DB-CDL19;1
DB-CDL20;1
DB-CDL22;1
DB-CHA19;1
DB-CHA20;1
DB-CHA20h;11
DB-CHA21;1
DB-KK20;1
DB-MDM18;1
DB-MDM19;1
DB-MDM20;1
DB-MDM22;1
DFS-018;1
DFS-GIG19;1
DFS-GIG20;1
DFS-GIG21;1
DFS-TD17;1
DFS-TD19;1
DFS-V19;1
DFS-VV19;1
DFS-VV21;1
DM-ADB19;1
DM-CH19;1
DM-FL18;1
DM-FL20;1
DM-MB20;1
DM-MRC19;1
DM-MRJ19;1
DM-MV18;1
DOM-PER09;10
DORL-CAR18;1
DORL-CAR19;1
DORL-KIR19;1
DORL-KRAN19;1
DORL-LIEB17;1
DORL-LIEB18;1
DORL-LIEB19;1
DORL-LIEB20;1
DORL-ROT19;1
DORL-ROT20;1
DORL-RR18;1
DORL-SAU21;9
DORL-SPIT17;1
DORL-SPIT18;1
DORL-SPIT19;1
DORL-SPIT20;1
DORL-SS18;1
DORL-SS19;1
DORL-SS20;1
DORL-SYR18;1
DORL-ZWEI21;1
DORL-ZWEI22;1
DP-ARI19;1
DP-ARI20;1
DP-BAB17;1
DP-BAB18;1
DP-BACO16;1
DP-BASP15;1
DP-BASP16;1
DP-CDP17;10
DP-DOLC19;1
DP-DON18;1
DP-DON19;1
DP-RIE21;1
DRYGIN;10
EC-LR18;1
EC-LR19;1
EC-LR20;1
EC-TH18;1
EC-TH19;1
EC-WV18;1
EC-WV19;1
EC-WV20;1
FB-B1C;7
FB-BDBG;7
FB-BDN;7
FB-BDNnv;7
FB-BM1C;8
FB-BRGC;7
FB-CM17;1
FB-CM18;1
FB-CM19;1
FB-CM20;1
FB-CMC17;1
FB-CMC18;1
FB-CMC19;1
FB-CMC20;1
FB-CMP17;1
FB-CMP18;1
FB-CMP19;1
FB-CMP20;1
FB-DESE;7
FB-EB1C;7
FB-GLAS;10
FB-GR;7
FB-KKBC;7
FB-M08;7
FB-M09;7
FB-M10;7
FB-M11;7
FB-M12;7
FB-M13;7
FC-PROSEC;10
FG-BCM18;1
FG-BCM19;1
FG-BCM20;1
FG-JMGD14;5
FG-JPR15;5
FG-JVCC15;5
FG-MCT15;1
FG-MCT20;1
FG-MCT21;1
FG-MGD18;1
FG-MGD19;1
FG-MGD20;1
FG-MGD21;1
FG-MMC20;1
FG-MMC21;1
FG-PE08;1
FG-PE10;1
FG-PE11;1
FG-PE17;1
FG-PE18;1
FG-PGE21;1
FG-PR14m;4
FG-PR17;1
FG-PR18;1
FG-PR19;1
FG-PR20;1
FG-PR21;1
FG-VCC13;1
FG-VCC15;1
FG-VCC18;1
FG-VCC19;1
FG-VCC20;1
FG-VCC21;1
FM-BB19;1
FM-BB20;1
FM-BB21;1
FM-BBn20;1
FM-BC20;1
FM-BM14;1
FM-CC18;1
FM-CC19;1
FM-CDB19;1
FM-CDB20;1
FM-CM15;1
FM-CMF16;1
FM-CMF17;1
FM-CMP17;1
FM-CMPF18;1
FM-CMPF19;1
FM-CMPV18;1
FM-CMPV19;1
FM-CMVV18;1
FM-CMVV19;1
FM-CMVV20;1
FM-CV19;1
FM-CV20;1
FM-EZ18;1
FM-F18;1
FM-FCC18;1
FM-FIX19;1
FM-FIX20;1
FM-FON19m3;4
FM-FON20m3;4
FM-GCLJ17;1
FM-GCLJ18;1
FM-GCLJ19;1
FM-GCLJ20;1
FM-GCVV18;1
FM-GCVV19;1
FM-GCVV20;1
FM-MABL19;1
FM-MASJ20;1
FM-MD16;1
FM-MD17;1
FM-MDB17;1
FM-MDB18;1
FM-MDR18;1
FM-MDR19;1
FM-MDR20;1
FM-MEU19;1
FM-MEU21;1
FM-MSDC17;1
FM-NG03;1
FM-NGD18;1
FM-NGD19;1
FM-NGD20;1
FM-NGVV17;1
FM-NGVV18;1
FM-NGVV19;1
FM-PM20;1
FM-PM21;1
FM-PNF22;1
FM-PNG19;1
FM-SLB19;1
FM-SLB20;1
FM-SR17;1
FM-SR18;1
FM-SRn18;1
FM-VRC18;1
FM-VRC19;1
FM-VRC20;1
Fragt;10
FS-CRBDB;7
FS-GBOL20;1
FS-GPFIN17;1
FS-GPFIN20;1
FS-PGBOL19;1
FS-PGBOL20;1
FS-PGVT18;1
FS-PINO22;1
FS-PNBOL21;1
FS-RBOL20;1
FS-RBOL22;1
FS-RISPA13;1
FS-RISPA14;1
FS-RISPA20;1
FS-RISPAm20;4
FS-RPFIN17;1
FS-RPFIN18;1
GBFEV0101;10
GBFEV0109;10
GBFEV0201;10
GFS-BB19;1
GFS-BB20;1
GFS-BR19;1
GFS-BR20;1
GFS-CDM19;1
GFS-CDM20;1
GFS-CV16;1
GFS-CV17;1
GFS-CV18;1
GFS-CV19;1
GFS-CV20;1
GFS-ECH16;1
GFS-ECH17;1
GFS-ECH18;1
GFS-ECH19;1
GFS-ECH20;1
GFS-ECHas;1
GFS-GREC20;1
GFS-RICH20;1
GFS-VR20;1
GG-ALPHA;10
GG-DRINK;10
GG-DRINK-KAN;10
GG-GOLD;10
GG-GOLD2;10
GG-GOLD6;10
GG-STD;10
GG-STD2;10
GG-STD6;10
GN-BR20;1
GN-CNV19;1
GN-CNV20;1
GN-ECH19;1
GN-ECH20;1
GN-ECHm19;4
GN-GECHm19;4
GN-GREC20;1
GN-HCN20;1
GN-NSG19;1
GN-NSG20;1
GN-NSGB19;1
GN-NSGB20;1
GN-NSGBm19;4
GN-VR20;1
GN-VRB19;1
GN-VRB20;1
GN-VRBm19;4
GN-VRC19;1
GN-VRC20;1
GN-VRCm19;4
GONET-HM;10
GRAH-VIN18;10
GRAS-1855;10
GRAS-CRU;10
GRAS-LIB;10
GRO-ALI21;1
GRO-ALO21;1
GRO-COR19;1
GRO-COR20;1
GRO-LACB21;1
GRO-LAIS21;1
GRO-LAP21;1
GRO-NSG21;1
GRO-PASS21;1
GRO-PN2020;1
GT-CB18;1
GT-CB19;1
GT-CB20;1
GT-CIA20;1
GT-CT18;1
GT-GREN18;1
HAR-PM16;10
HUB-FRI20;1
HUB-PRI20;1
IPSUS15;1
IPSUS16;1
IPSUS18;1
IPSUS18m;4
JMB-ALI19;1
JMB-ALI20;1
JMB-B1P19;1
JMB-BB19;1
JMB-BB20;1
JMB-BB21;1
JMB-BR18;1
JMB-BR19;1
JMB-BR20;1
JMB-BR21;1
JMB-M19;1
JMB-M1C19;1
JMB-M1C20;1
JMB-M1C21;1
JMB-M1G20;1
JMB-M1G21;1
JMB-M1P20;1
JMB-M1P21;1
JMB-M20;1
JMB-M21;1
JMB-MN19;1
JMB-MN20;1
JMB-MN21;1
JMB-MR17;1
JMB-MR18;1
JMB-MR19;1
JMB-MR20;1
JMB-PM1F20;1
JMB-PM1F21;1
JMB-V1C19;1
JMB-V1S18;1
JMB-V1S19;1
JMB-V1S20;1
JMB-V1S21;1
KAF-LIK;10
KRA-LAKC;10
KRA-LAR;10
KRA-SOL;10
KRA-VAL;10
KRA-VALhs;10
LAMY-ARG20;1
LAMY-BE19;1
LAMY-COM20;1
LAMY-CRE20;1
LAMY-MOR20m;4
LAMY-POT20;1
LAMY-VER20;1
LAS-A18;1
LAS-MAISEN;7
LAS-R01;1
LAS-R16;1
LAS-R17;1
LAS-R18;1
LAS-S19;1
LAS-S20;1
LAS-SS15;1
LAS-SS17;1
LDL-CN19;1
LDL-CP18;1
LDL-CP19;1
LDT-CHAR20;1
LDT-CLNA20;1
LDT-MACVIN;9
LDT-NATU20;1
LDT-POUL20;1
LF-BC19;1
LF-BC20;1
LF-MC19;1
LF-MC20;1
LF-MC21;1
LF-MEUR19;1
LF-MVC19;1
LF-MVC20;1
LF-MVC21;1
LF-PF19;1
LF-PF21;1
LF-PMC06;1
LF-PMC19;1
LF-PMC20;1
LF-PMF06;1
LF-PMF19;1
LF-PMP06;1
LF-PMV19;1
LM-014;10
LM-CA17;1
LM-GP17;1
LM-LM16;1
LM-LM18;1
LNTZ-AS-16stk;10
LNTZ-AS-25stk;10
LNTZ-AS-9stk;10
LNTZ-BD100g;10
LNTZ-CH100g;10
LNTZ-KH100g;10
LNTZ-SK100g;10
LNTZ-SM100g;10
LOP-BLA09;10
LOP-ROS11;10
MAY-1963;10
MF-BBF17;1
MF-BBF18;1
MF-BBF19;1
MF-CB18;1
MF-CB19;1
MF-CB20;1
MF-GC15;1
MF-GCBA10;1
MF-GCBA18;1
MF-MC17;1
MF-MC19;1
MF-MECH14;1
MF-NSG15;1
MF-PR18;1
MF-R17;1
MF-R18;1
MF-V16;1
MF-V17;1
MF-V18;1
MID-DAG;10
MIX36-15;10
MKLE-CARA80g;10
MKLE-MALT80g;10
MKLE-SALT80g;10
MONT-BE20;1
MONT-CC20;1
MONT-CHA20;1
MONT-FOLA20;1
MONT-PEZ20;1
MONT-PM17;1
MONT-PM19;1
MONT-PN20;1
MONT-POR20;1
MONT-REM20;1
MONT-VOL20;1
NAS-CHA20;1
NAS-GIO19;1
NAS-MAC20;1
NAS-SAL19;1
NEU-GVRR20;1
NEU-GVRR21;1
NEU-GVS19;1
NEU-GVS20;1
NEU-GVS21;1
NEU-GVWS19;1
NEU-GVWS20;1
NEU-GVWS21;1
NEU-RHIM19;1
NEU-RRR19;1
NEU-RRR20;1
NEU-RRR21;1
NEU-RWS19;1
NEU-RWS20;1
NEU-RWS21;1
NEU-SWS19;1
NEU-WWS19;1
NEU-WWS20;1
OB-RON17;10
OB-RON18;10
OB-RON19;10
OB-RON20;10
ODO-CHE19;1
ODO-CRA19;1
ODO-CV19;1
ODO-GVC19;1
OFW-CH19;1
OFW-CH20;1
OFW-CH21;1
OFW-FRA17;10
OFW-FRA18;1
OFW-FRA19;1
OFW-PIN20;1
OFW-PIN21;1
OFW-PROP17;1
OFW-ROSE19;1
OFW-ROSE19m;4
OFW-RU16;10
OFW-RU17;1
OFW-RU18;1
OFW-RU18m;4
OFW-RU19;1
OFW-ST15;1
OFW-ST17;1
OFW-ST18;1
OLVI-CHA22;1
OLVI-CHEN22;1
OLVI-CL21;1
OLVI-GREN20;1
OLVI-OIL22;10
OLVI-PESE20;1
OLVI-RHOD20;1
OLVI-STAX20;1
OLVI-SYR17;1
OLVI-VIOG19;1
ORAGIN;10
P-COL04S;10
PA-AL10;1
PA-AL13;1
PA-AL15;1
PA-AL16;1
PA-BR10;1
PA-BR13;1
PA-BR15;1
PA-BR16;1
PA-RO18;1
PA-RO19;1
PAG-B17;1
PASS-BIA16;10
PASS-BIA17;10
PASS-BIA18;10
PASS-BIA20;1
PASS-CHIA13;10
PASS-CHIA14;10
PASS-CHIA15;10
PASS-CHIA16;10
PASS-CHIA17;10
PASS-CHIA18;10
PASS-FRA13;10
PASS-FRA15;10
PASS-FRA15m;10
PASS-FRA16;10
PASS-FRA16m;10
PASS-FRA17;10
PASS-FRA17m;10
PASS-FRA18;10
PASS-FRA19;10
PASS-FRA20;9
PASS-GUA15;10
PASS-GUA16;10
PASS-GUA17;10
PASS-GUA18;10
PASS-PC18;10
PASS-PC20;1
PASS-POR13;10
PASS-POR15;10
PASS-POR16;10
PASS-POR17;10
PASS-POR18;10
PASS-POR20;1
PASS-RAM15;10
PASS-RAM16;10
PASS-RAM17;10
PASS-RAM18;10
PASS-ROS13;10
PASS-ROS13m;10
PASS-ROS15;10
PASS-ROS16;10
PASS-ROS17;10
PASS-ROS20;1
PASS-SCI13;10
PASS-SCI15;10
PASS-SCI16;10
PASS-SCI17;10
PASS-SCI18;10
PASS-SCI20;1
PASS-VEN19m;10
PC-BC20;1
PC-BC21;1
PC-BPN18;1
PC-BPN19;1
PC-BPN20;1
PC-BPN21;1
PC-CM20;1
PC-CM21;1
PC-CMC19;1
PC-CMC20;1
PC-CMCM21;1
PC-CMG19;1
PC-CMG20;1
PC-CMG21;1
PC-CMM17;1
PC-CMM18;1
PC-CMM19;1
PC-CMM20;1
PC-CMP18;1
PC-CMP19;1
PC-CMP20;1
PC-CMP21;1
PC-CMPR20;1
PC-PMP20;1
PC-PMP21;1
PC-S16;1
PC-S17;1
PC-S18;1
PC-S19;1
PC-S20;1
PC-SA18;1
PC-SA19;1
PC-SA20;1
PC-SA21;1
PC-SCS21;1
PIBE-BACO18;10
PIBE-BAMO18;10
PIBE-BARA18;10
PJ-HC90;10
POL-ROG08;10
POL-ROGbr;10
PRD-ADB21;1
PRD-ADL21;1
PRD-ADV19;1
PRD-BC20;1
PRD-BRG21;1
PRD-MEUR21;1
PRD-POM21;1
PRD-SRC21;1
PRD-VOL21;1
rabat;10
RT-CHA20;1
RT-COR20;1
RT-PA20;1
RT-PN20;1
RT-SOP20;1
RT-SYR20;1
RUM- CAR18;10
RUM-RIISE;10
SAM-CH21;1
SAM-CHZO21;1
SAM-PN20;1
SAM-PNRA19;1
SANCAB20;1
SANCAB20m;1
SAPO-BRU18;1
SAPO-POD15;1
SAPO-POD16;1
SAPO-POD18;1
SAPO-RIS15;1
SAPO-ROS20;1
SAPO-RUB20;1
SAPO-VIG16;1
SAPO-VIG18;1
SCA-B09;1
SCA-B1;1
SCA-B12;1
SCA-B15;1
SCA-B16;1
SCA-B17;1
SCA-B18;1
