number,default_location_id
291000159,120
292,120
294,120
295,120
296,120
297,140
298,120
299,120
303,120
304,120
305,120
306,140
307,140
308,140
309,140
312,120
315,140
316,140
317,140
318,120
320,120
32001,120
321,120
327147,140
33001,120
33002,120
33003,120
33004,120
33005,120
33006,120
33009,120
34,140
3404415,120
344,120
35,140
35001,140
35002,140
35003,140
35004,140
35005,140
35006,140
350157,120
37,140
3939210,140
399,120
3997727,120
40,120
4000,140
40001,500
40002,500
40003,500
40004,500
40005,500
40006,500
401,500
4011913,140
402,500
4023146006824,140
4028,120
403,500
404931015,120
4054,120
4060,140
4069,120
4094,120
410020,120
410021,140
410022,140
410023,140
410024,140
410025,140
410026,120
410027,140
4120,140
4172,120
440001,500
440002,500
440003,500
440004,500
44001,140
44002,140
44003,140
44004,140
44005,140
44006,140
44007,140
44008,140
44015,140
44016,140
44017,140
44020,140
44021,140
44022,140
44023,140
44024,140
4405,140
4411,140
4429,140
450133905,120
45185027,140
45232512,140
463958001,140
4649,120
4666,120
4712,140
480001,140
480002,140
480003,140
480004,140
480005,140
480006,140
480010,140
480011,140
480012,140
480013,140
480014,140
480016,140
480017,140
480018,140
480019,140
480020,140
480021,140
4805,140
4806,140
4807,140
4808,140
4819,140
4823,140
4831,120
4848,120
4870,120
4871,120
4890,120
4983,140
4994,120
4995,120
4996,120
4996,120
500669,140
50109,140
50150,140
502075,120
5049041,120
50900,500
50901,500
50902,500
50903,500
50904,500
50905,500
50906,500
50907,500
50908,500
50909,500
50910,500
50911,500
50912,500
50913,500
50950,500
51,140
518233,120
52,120
521035,140
53,120
552638,120
552646,120
552653,120
553156,120
553206,120
563334,120
563425,120
563542,120
563605,120
563621,120
563633,120
563722,120
563734,120
566737,120
567073,120
6,120
6100031,120
6501528,120
667145464,120
667175020,120
667355110,120
667355130,120
667355140,120
667355420,120
6862680,120
6862696,120
69,120
6904259,140
69042850,140
69043670,140
69072760,140
7012104,120
70150,140
70250,140
7049,120
706655,120
71025,140
71027,140
71210,140
71508,140
71509,140
71510,140
71511,140
71512,140
71513,140
71514,140
71515,140
71519,140
71520,140
71521,140
71522,140
71523,140
71524,140
71528,140
71531,140
71532,140
71533,140
71534,140
7214007,120
72500,140
72502,140
72503,140
72505,140
72506,140
72517,140
72518,140
7261569,140
7308,120
740889,140
740890,140
7457,120
77011,140
771143,140
771153,140
772060,140
7744,120
7745,120
7897889,120
790002,140
7930508905,140
7936025165,140
8046206,120
8401,140
8402,140
8403,140
8404,140
8405,120
8406,140
8407,140
8408,140
8409,140
8410,140
8411,140
8412,140
8413,140
8414,140
8416,120
867110260,120
867140093,120
867140103,120
867150140,120
867150170,120
867150814,120
867230184,120
885137,120
89375,140
900,140
9000,140
900196,120
900460,120
90141,140
904912,120
905018,120
905158,120
9202100535,120
9203312412,120
9205101827,120
9205102467,140
9205102477,140
93041,140
93042,140
9330000097,120
95,120
95001,140
95002,140
95003,140
95004,140
95005,140
95006,140
95007,140
9710061200,120
97732,140
98209,140
98220,120
98238,120
982410,120
98249,120
98459,120
9880867110,120
98880,120
98924,120
99011,120
99040,120
99041,120
99042,120
99044,120
992016580,120
99259,140
996160,120
999936526,120
999939095,120
999939200,120
999941979,120
