number,default_location_id
81027-025-14301,140
81027-300-14401,140
81028-025-14302,140
81028-200-14402,140
81029-025-14303,140
81029-200-14403,140
81031-001-17302,140
81031-020-17302,140
81032-001-020,140
81032-001-17601,140
81032-020-17601,140
81033-025-1701,140
81034-001-14204,140
81035-050-14304,140
81037-100-11402,140
81038-100-11403,140
8402-R,140
8403-R,140
8404-3915,140
8404-3968,140
8404-3989,140
8404-R-0057,140
8404-R-0058,140
8404-R-0060,140
8404-R-1474,140
8404-R-3375,140
8404-R-3376,120
8405-R,140
8405-R-0056,140
8405-R-3214,140
8405-R-3390,140
8405-R-3458,140
8405-R-3459,140
8406-101-Only Right,140
8406-34-Only Right,140
8406-R-PMH67+PMH70,140
8406-R-PMH68+PMH71,140
8406-R-PMH69+PMH72,140
8415-R-0061,120
8415-R-10,120
8415-R-1942,120
8415-R-2780,140
8416-R-0062,120
8416-R-1972,120
8416-R-2788,120
8416-R-2889,120
84301-10-14104,140
84301-7-14101,140
84301-8-14102,140
84301-9-14103,140
881-1,140
884-1,140
90000 Maskine leje,140
9000-1,140
9001010000-C,140
9001010001-C,140
9001010002-C,140
9001010003-C,140
9001010006-C,140
9001010008-C,140
9001010012-C,140
9001010023-C,140
9001010024-C,140
9001030000-C,140
9001030001-C,140
9001-242-004 - 06215,120
9001-245-001 - 06215,120
9001-245-002 - 06215,120
900460/2000X2000,120
900460/Fårup,120
900460/SL1310,120
900460/SL1625,120
900461/2200X1600,120
900461/GL2032,120
900461/GL2032C,120
900461/GL2032C - smal,120
900461/GL2432C,140
900461/LFC2332C,120
900461/LFC3332C,120
900461/SL1310,120
900461/SL1317 Liberty,120
900461/SL1625,120
900461/TL1617C,120
900461/TL1625C,120
901678 - 06214,120
90-IG1Q003M00-0PA0,140
91001-11104,140
91002-11201,140
91003-11204,140
91004-11203,140
91005-11202,140
91006-11101,140
91007-11103,140
91008-11102,140
91009-0000,140
91010-0000,140
91011-0000,140
91012-0000,140
91013-0000,140
91014-0000,140
92001-01221,140
92002-01211,140
92003-01114,140
92004-01111,140
92005-01112,140
92006-01113,140
92007-01231,140
92008-01151,140
92009-01152,140
92010-01155,140
92011-01156,140
92012-01157,140
92013-01158,140
92014-01141,140
92015-01142,140
92016-01143,140
92017-01144,140
92018-01154,140
92019-0000,140
92020-0000,140
92021-01125,140
92023-01242,140
92024-01243,140
92025-01244,140
92026-01245,140
92027-01246,140
92028-01247,140
92029-01255,140
92030-01256,140
92031-01257,140
92032-0000,140
92033-01127,140
92035-01153,140
92036-01135,140
92037-0000,140
92038-01136,140
92039-0000,140
92040-0000,140
92041-0000,140
92042-0000,140
92043-0000,140
92044-0000,140
92045-0000,140
92046-0000,140
92047-0000,140
